6.177,3
6.58,1
6.9069996,2
7.0079994,0
7.1239996,3
7.325,2
7.795,1
7.892,2
8.124,0
8.328,0
8.563,3
8.762,1
9.078,2
9.6779995,0
10.076,3
10.441999,2
10.543,1
10.6449995,3
10.88,2
11.36,0
11.476001,3
11.695001,2
11.912,1
12.009999,3
12.109,2
12.245999,0
13.244,0
13.676999,3
14.0460005,2
14.141999,1
14.242999,3
14.443,2
14.943999,0
15.044999,3
15.244,2
15.481999,2
15.693999,3
15.911,2
16.243,1
16.799,0
17.23,1
17.598999,3
17.699001,2
17.814999,1
18.035,2
18.481998,0
18.599998,3
18.814,2
19.032001,1
19.162998,3
19.268002,2
19.365002,0
